,Suburb,Type,Landsize,BuildingArea,Rooms,Bathroom,Bedroom2,YearBuilt,Price,Postcode,zipcode,price,weekly_price,monthly_price
46,Airport West,h,597.0,127.0,4,1.0,3.0,,785000.0,3042.0,,,,
47,Airport West,h,976.0,186.0,6,3.0,6.0,1980.0,725000.0,3042.0,,,,
48,Airport West,t,110.0,90.0,2,1.0,2.0,2015.0,450000.0,3042.0,,,,
49,Airport West,u,141.0,73.0,2,1.0,2.0,2013.0,515000.0,3042.0,,,,
50,Airport West,u,120.0,94.0,2,1.0,2.0,2012.0,530000.0,3042.0,,,,
51,Airport West,h,1063.0,133.0,3,1.0,3.0,1975.0,895000.0,3042.0,,,,
52,Airport West,h,0.0,105.0,3,1.0,3.0,1950.0,805000.0,3042.0,,,,
53,Airport West,u,265.0,130.0,3,1.0,3.0,1993.0,752000.0,3042.0,,,,
54,Airport West,u,192.0,,2,1.0,2.0,,440000.0,3042.0,,,,
55,Airport West,h,596.0,,5,2.0,3.0,,755000.0,3042.0,,,,
56,Airport West,t,165.0,133.0,3,2.0,3.0,2009.0,700000.0,3042.0,,,,
57,Airport West,h,971.0,113.0,3,1.0,3.0,1960.0,830000.0,3042.0,,,,
58,Airport West,u,164.0,,2,1.0,2.0,2003.0,462500.0,3042.0,,,,
59,Airport West,h,657.0,,3,2.0,3.0,,670000.0,3042.0,,,,
60,Airport West,h,612.0,100.0,2,1.0,2.0,1975.0,675000.0,3042.0,,,,
61,Airport West,h,612.0,174.0,3,2.0,3.0,1950.0,1042000.0,3042.0,,,,
62,Airport West,h,775.0,,3,1.0,3.0,,910000.0,3042.0,,,,
63,Airport West,h,531.0,309.0,4,3.0,5.0,1980.0,773000.0,3042.0,,,,
64,Airport West,h,555.0,192.0,3,3.0,3.0,1980.0,810000.0,3042.0,,,,
65,Airport West,h,422.0,126.0,3,2.0,3.0,1995.0,715000.0,3042.0,,,,
66,Airport West,h,614.0,,3,1.0,3.0,,790000.0,3042.0,,,,
67,Airport West,t,161.0,101.0,3,2.0,2.0,2010.0,540000.0,3042.0,,,,
68,Airport West,t,293.0,102.0,3,2.0,3.0,1960.0,825000.0,3042.0,,,,
69,Airport West,h,579.0,113.0,3,1.0,3.0,1975.0,685000.0,3042.0,,,,
70,Airport West,h,623.0,,3,1.0,3.0,,805000.0,3042.0,,,,
71,Airport West,u,141.0,76.0,2,1.0,2.0,,510000.0,3042.0,,,,
72,Airport West,h,212.0,,3,2.0,3.0,,612000.0,3042.0,,,,
73,Airport West,h,612.0,,3,1.0,3.0,,662000.0,3042.0,,,,
74,Airport West,h,532.0,,4,3.0,4.0,,978000.0,3042.0,,,,
75,Airport West,h,585.0,,3,1.0,3.0,,720000.0,3042.0,,,,
76,Airport West,h,509.0,,4,1.0,4.0,,765000.0,3042.0,,,,
77,Airport West,h,628.0,146.0,4,2.0,4.0,1975.0,900000.0,3042.0,,,,
78,Albert Park,h,120.0,82.0,2,1.0,2.0,1900.0,1275000.0,3206.0,3206.0,229.41803278688525,243.31967213114754,581.5245901639345
79,Albert Park,h,159.0,,2,1.0,2.0,,1455000.0,3206.0,3206.0,229.41803278688525,243.31967213114754,581.5245901639345
80,Albert Park,h,211.0,198.0,3,2.0,3.0,1890.0,2850000.0,3206.0,3206.0,229.41803278688525,243.31967213114754,581.5245901639345
81,Albert Park,h,128.0,133.0,3,2.0,3.0,1890.0,1850000.0,3206.0,3206.0,229.41803278688525,243.31967213114754,581.5245901639345
82,Albert Park,h,130.0,81.0,2,1.0,2.0,1900.0,1436000.0,3206.0,3206.0,229.41803278688525,243.31967213114754,581.5245901639345
83,Albert Park,h,147.0,,2,1.0,1.0,1900.0,1110000.0,3206.0,3206.0,229.41803278688525,243.31967213114754,581.5245901639345
84,Albert Park,h,167.0,,2,1.0,2.0,,1550000.0,3206.0,3206.0,229.41803278688525,243.31967213114754,581.5245901639345
85,Albert Park,h,153.0,180.0,4,2.0,4.0,1880.0,2300000.0,3206.0,3206.0,229.41803278688525,243.31967213114754,581.5245901639345
86,Albert Park,t,718.0,,3,2.0,3.0,,1550000.0,3206.0,3206.0,229.41803278688525,243.31967213114754,581.5245901639345
87,Albert Park,h,132.0,159.0,3,2.0,3.0,1996.0,1800000.0,3206.0,3206.0,229.41803278688525,243.31967213114754,581.5245901639345
88,Albert Park,h,199.0,107.0,2,1.0,2.0,1900.0,2120000.0,3206.0,3206.0,229.41803278688525,243.31967213114754,581.5245901639345
89,Albert Park,h,253.0,,3,1.0,3.0,,1800000.0,3206.0,3206.0,229.41803278688525,243.31967213114754,581.5245901639345
90,Albert Park,h,90.0,122.0,3,2.0,3.0,1900.0,1800000.0,3206.0,3206.0,229.41803278688525,243.31967213114754,581.5245901639345
91,Albert Park,h,240.0,,2,1.0,2.0,,1810000.0,3206.0,3206.0,229.41803278688525,243.31967213114754,581.5245901639345
92,Albert Park,h,177.0,181.0,3,2.0,3.0,1880.0,2615000.0,3206.0,3206.0,229.41803278688525,243.31967213114754,581.5245901639345
93,Albert Park,h,237.0,,5,2.0,5.0,,2100000.0,3206.0,3206.0,229.41803278688525,243.31967213114754,581.5245901639345
94,Albert Park,h,129.0,,3,1.0,3.0,,1300000.0,3206.0,3206.0,229.41803278688525,243.31967213114754,581.5245901639345
95,Albert Park,h,0.0,85.0,3,2.0,3.0,2000.0,1370000.0,3206.0,3206.0,229.41803278688525,243.31967213114754,581.5245901639345
96,Albert Park,h,288.0,,2,1.0,2.0,,1000000.0,3206.0,3206.0,229.41803278688525,243.31967213114754,581.5245901639345
97,Albert Park,h,228.0,,3,2.0,3.0,,2575000.0,3206.0,3206.0,229.41803278688525,243.31967213114754,581.5245901639345
98,Albert Park,h,149.0,98.0,2,1.0,2.0,1890.0,1322500.0,3206.0,3206.0,229.41803278688525,243.31967213114754,581.5245901639345
99,Albert Park,h,141.0,83.0,2,1.0,2.0,1890.0,1562500.0,3206.0,3206.0,229.41803278688525,243.31967213114754,581.5245901639345
100,Albert Park,h,211.0,147.0,3,2.0,3.0,1900.0,2000000.0,3206.0,3206.0,229.41803278688525,243.31967213114754,581.5245901639345
101,Albert Park,h,209.0,,3,1.0,3.0,1900.0,1900000.0,3206.0,3206.0,229.41803278688525,243.31967213114754,581.5245901639345
102,Albert Park,h,147.0,146.0,3,2.0,3.0,1890.0,3010000.0,3206.0,3206.0,229.41803278688525,243.31967213114754,581.5245901639345
103,Albert Park,h,327.0,254.0,4,3.0,4.0,1910.0,2800000.0,3206.0,3206.0,229.41803278688525,243.31967213114754,581.5245901639345
104,Albert Park,u,0.0,,2,1.0,2.0,,647000.0,3206.0,3206.0,229.41803278688525,243.31967213114754,581.5245901639345
105,Albert Park,h,120.0,123.0,3,1.0,2.0,1900.0,2100000.0,3206.0,3206.0,229.41803278688525,243.31967213114754,581.5245901639345
106,Albert Park,h,238.0,131.0,3,1.0,3.0,1890.0,2000000.0,3206.0,3206.0,229.41803278688525,243.31967213114754,581.5245901639345
107,Albert Park,u,0.0,34.0,1,1.0,1.0,1970.0,442500.0,3206.0,3206.0,229.41803278688525,243.31967213114754,581.5245901639345
108,Albert Park,h,330.0,207.0,4,2.0,4.0,1910.0,4735000.0,3206.0,3206.0,229.41803278688525,243.31967213114754,581.5245901639345
109,Albert Park,h,136.0,,2,1.0,2.0,,1340000.0,3206.0,3206.0,229.41803278688525,243.31967213114754,581.5245901639345
110,Albert Park,h,202.0,,3,1.0,3.0,,1801000.0,3206.0,3206.0,229.41803278688525,243.31967213114754,581.5245901639345
111,Albert Park,h,0.0,,3,3.0,3.0,,1532000.0,3206.0,3206.0,229.41803278688525,243.31967213114754,581.5245901639345
112,Albert Park,h,325.0,,3,2.0,3.0,,3755000.0,3206.0,3206.0,229.41803278688525,243.31967213114754,581.5245901639345
113,Albert Park,h,183.0,145.0,4,2.0,3.0,1880.0,2140000.0,3206.0,3206.0,229.41803278688525,243.31967213114754,581.5245901639345
114,Albert Park,h,162.0,,2,1.0,2.0,,1750000.0,3206.0,3206.0,229.41803278688525,243.31967213114754,581.5245901639345
115,Albert Park,h,79.0,68.0,2,1.0,2.0,1890.0,980000.0,3206.0,3206.0,229.41803278688525,243.31967213114754,581.5245901639345
116,Albert Park,h,152.0,,3,2.0,3.0,,2030000.0,3206.0,3206.0,229.41803278688525,243.31967213114754,581.5245901639345
117,Albert Park,h,147.0,134.0,3,2.0,3.0,1890.0,1740000.0,3206.0,3206.0,229.41803278688525,243.31967213114754,581.5245901639345
118,Albert Park,h,0.0,,3,3.0,3.0,,2800000.0,3206.0,3206.0,229.41803278688525,243.31967213114754,581.5245901639345
119,Albert Park,h,81.0,54.0,1,1.0,1.0,1900.0,985000.0,3206.0,3206.0,229.41803278688525,243.31967213114754,581.5245901639345
120,Alphington,h,853.0,263.0,4,2.0,3.0,1930.0,2000000.0,3078.0,,,,
121,Alphington,h,208.0,,3,2.0,3.0,2013.0,1110000.0,3078.0,,,,
122,Alphington,h,411.0,,3,2.0,3.0,,1492000.0,3078.0,,,,
123,Alphington,h,599.0,203.0,4,2.0,4.0,1925.0,1717500.0,3078.0,,,,
124,Alphington,h,809.0,165.0,5,4.0,5.0,1910.0,2840000.0,3078.0,,,,
125,Alphington,u,88.0,60.0,2,1.0,2.0,1960.0,525500.0,3078.0,,,,
126,Alphington,t,155.0,140.0,2,2.0,2.0,2004.0,805000.0,3078.0,,,,
127,Alphington,u,0.0,,2,1.0,2.0,,465000.0,3078.0,,,,
128,Alphington,h,686.0,,3,3.0,3.0,,2000000.0,3078.0,,,,
129,Alphington,h,592.0,,3,1.0,3.0,,1540000.0,3078.0,,,,
130,Alphington,u,183.0,,2,1.0,2.0,,820000.0,3078.0,,,,
131,Alphington,h,606.0,112.0,4,2.0,4.0,1970.0,1830000.0,3078.0,,,,
132,Alphington,h,575.0,271.0,4,2.0,4.0,2008.0,2100000.0,3078.0,,,,
133,Alphington,h,180.0,131.0,3,1.0,3.0,2010.0,865000.0,3078.0,,,,
134,Alphington,u,0.0,60.0,2,1.0,2.0,1960.0,390000.0,3078.0,,,,
135,Alphington,t,0.0,,2,1.0,0.0,,650000.0,3078.0,,,,
136,Alphington,u,0.0,61.0,2,1.0,2.0,1965.0,512000.0,3078.0,,,,
137,Alphington,h,979.0,,3,1.0,3.0,,1165000.0,3078.0,,,,
138,Alphington,h,556.0,272.0,4,2.0,4.0,1930.0,1900000.0,3078.0,,,,
139,Alphington,h,597.0,,3,0.0,3.0,,1485000.0,3078.0,,,,
140,Alphington,h,589.0,210.0,4,2.0,4.0,1920.0,1950000.0,3078.0,,,,
141,Altona,h,352.0,242.0,3,2.0,3.0,2015.0,520000.0,3018.0,,,,
142,Altona,h,729.0,268.0,5,3.0,5.0,2005.0,1525000.0,3018.0,,,,
143,Altona,t,292.0,125.0,2,1.0,2.0,2013.0,720000.0,3018.0,,,,
144,Altona,h,506.0,120.0,3,1.0,3.0,1930.0,1120000.0,3018.0,,,,
145,Altona,h,655.0,,4,1.0,4.0,,780000.0,3018.0,,,,
146,Altona,h,1057.0,220.0,4,3.0,4.0,1962.0,1780000.0,3018.0,,,,
147,Altona,u,311.0,94.0,3,1.0,2.0,1955.0,630000.0,3018.0,,,,
148,Altona,u,65.0,,2,1.0,2.0,,406000.0,3018.0,,,,
149,Altona,h,602.0,123.0,3,1.0,3.0,1955.0,660000.0,3018.0,,,,
150,Altona,h,530.0,,3,1.0,3.0,,683500.0,3018.0,,,,
151,Altona,u,225.0,93.0,2,1.0,2.0,1988.0,580000.0,3018.0,,,,
152,Altona,h,777.0,22.0,3,1.0,3.0,1953.0,1335000.0,3018.0,,,,
153,Altona,t,280.0,,3,2.0,3.0,1997.0,800000.0,3018.0,,,,
154,Altona,u,127.0,76.0,2,1.0,2.0,1990.0,510000.0,3018.0,,,,
155,Altona,h,695.0,,4,2.0,4.0,,1070000.0,3018.0,,,,
156,Altona,u,115.0,57.0,2,1.0,2.0,1980.0,425000.0,3018.0,,,,
157,Altona,u,230.0,,3,2.0,3.0,,605000.0,3018.0,,,,
158,Altona,t,197.0,152.0,3,2.0,3.0,,705000.0,3018.0,,,,
159,Altona,u,0.0,65.0,2,1.0,2.0,1965.0,391000.0,3018.0,,,,
160,Altona,u,0.0,,2,1.0,2.0,,440000.0,3018.0,,,,
161,Altona,h,745.0,130.0,4,1.0,4.0,1950.0,845000.0,3018.0,,,,
162,Altona,t,211.0,176.0,3,2.0,3.0,,743000.0,3018.0,,,,
163,Altona,u,69.0,141.0,3,2.0,3.0,2014.0,730000.0,3018.0,,,,
164,Altona,h,625.0,,3,1.0,3.0,1960.0,635000.0,3018.0,,,,
165,Altona,u,168.0,,2,1.0,2.0,,620000.0,3018.0,,,,
166,Altona,u,137.0,77.0,2,1.0,2.0,1990.0,447000.0,3018.0,,,,
167,Altona,u,70.0,,3,2.0,3.0,,730000.0,3018.0,,,,
168,Altona,h,606.0,87.0,3,1.0,3.0,1950.0,678000.0,3018.0,,,,
169,Altona,u,175.0,76.0,2,2.0,2.0,2013.0,580000.0,3018.0,,,,
170,Altona,h,363.0,,3,1.0,3.0,,712000.0,3018.0,,,,
171,Altona,h,534.0,136.0,3,2.0,3.0,1965.0,840000.0,3018.0,,,,
172,Altona,h,724.0,,3,1.0,3.0,,980000.0,3018.0,,,,
173,Altona,t,265.0,,3,2.0,3.0,,605100.0,3018.0,,,,
174,Altona,h,577.0,,3,3.0,3.0,,880000.0,3018.0,,,,
175,Altona,u,205.0,113.0,3,2.0,3.0,2007.0,577000.0,3018.0,,,,
176,Altona,h,797.0,,4,1.0,4.0,,1030000.0,3018.0,,,,
177,Altona,u,181.0,,3,1.0,3.0,,605000.0,3018.0,,,,
178,Altona,h,529.0,,3,2.0,3.0,,753000.0,3018.0,,,,
179,Altona,h,675.0,100.0,2,2.0,2.0,1950.0,857000.0,3018.0,,,,
180,Altona,h,929.0,,3,1.0,3.0,,1500000.0,3018.0,,,,
181,Altona,u,70.0,3.0,3,2.0,3.0,2014.0,730000.0,3018.0,,,,
182,Altona,h,697.0,,3,1.0,3.0,,900000.0,3018.0,,,,
183,Altona,h,604.0,,3,1.0,3.0,,740000.0,3018.0,,,,
184,Altona,h,532.0,,4,2.0,4.0,1970.0,931000.0,3018.0,,,,
185,Altona,h,154.0,91.0,2,1.0,2.0,1996.0,535600.0,3018.0,,,,
186,Altona North,h,592.0,251.0,5,3.0,5.0,1965.0,1085000.0,3025.0,,,,
187,Altona North,h,533.0,117.0,3,1.0,3.0,1970.0,781000.0,3025.0,,,,
188,Altona North,h,554.0,,3,1.0,3.0,,750000.0,3025.0,,,,
189,Altona North,t,77.0,77.0,2,1.0,2.0,2009.0,421000.0,3025.0,,,,
190,Altona North,h,655.0,,3,1.0,3.0,,1405000.0,3025.0,,,,
191,Altona North,h,534.0,167.0,3,1.0,3.0,1967.0,683000.0,3025.0,,,,
192,Altona North,h,540.0,,3,1.0,3.0,,623000.0,3025.0,,,,
193,Altona North,h,0.0,130.0,3,2.0,3.0,2012.0,720000.0,3025.0,,,,
194,Altona North,h,328.0,118.0,3,1.0,3.0,1970.0,588000.0,3025.0,,,,
195,Altona North,h,540.0,116.0,3,1.0,3.0,1960.0,710000.0,3025.0,,,,
196,Altona North,h,559.0,169.0,4,1.0,3.0,1965.0,875000.0,3025.0,,,,
197,Altona North,h,554.0,,3,1.0,3.0,,700000.0,3025.0,,,,
198,Altona North,t,252.0,,2,1.0,2.0,1965.0,640000.0,3025.0,,,,
199,Altona North,h,558.0,,4,1.0,4.0,,650000.0,3025.0,,,,
200,Altona North,h,171.0,109.0,3,2.0,3.0,2012.0,675000.0,3025.0,,,,
201,Altona North,h,585.0,97.0,3,1.0,3.0,1960.0,708000.0,3025.0,,,,
202,Altona North,h,851.0,,4,1.0,4.0,,965000.0,3025.0,,,,
203,Altona North,h,551.0,,3,1.0,3.0,,680000.0,3025.0,,,,
204,Altona North,h,602.0,603.0,3,1.0,3.0,,770000.0,3025.0,,,,
205,Altona North,h,740.0,,3,1.0,3.0,,923000.0,3025.0,,,,
206,Altona North,h,315.0,170.0,4,2.0,4.0,2008.0,693000.0,3025.0,,,,
207,Altona North,h,276.0,100.0,3,2.0,5.0,2010.0,620000.0,3025.0,,,,
208,Altona North,h,531.0,157.0,3,1.0,3.0,1960.0,728500.0,3025.0,,,,
209,Altona North,h,590.0,160.0,3,2.0,3.0,1950.0,931000.0,3025.0,,,,
210,Altona North,h,715.0,,3,1.0,3.0,2008.0,988000.0,3025.0,,,,
211,Altona North,h,561.0,,3,1.0,3.0,,590000.0,3025.0,,,,
212,Altona North,h,691.0,,2,1.0,2.0,,610000.0,3025.0,,,,
213,Altona North,h,555.0,130.0,3,2.0,3.0,1960.0,815000.0,3025.0,,,,
214,Altona North,h,708.0,,4,1.0,4.0,,970000.0,3025.0,,,,
215,Altona North,h,668.0,,4,1.0,4.0,,760000.0,3025.0,,,,
216,Altona North,t,252.0,,4,3.0,4.0,,847500.0,3025.0,,,,
217,Altona North,h,633.0,158.0,4,1.0,4.0,1960.0,1200000.0,3025.0,,,,
218,Altona North,h,557.0,,3,1.0,3.0,,700000.0,3025.0,,,,
219,Altona North,h,536.0,,3,1.0,3.0,,625000.0,3025.0,,,,
220,Altona North,u,153.0,70.0,2,1.0,2.0,1970.0,292000.0,3025.0,,,,
221,Armadale,u,0.0,76.0,2,1.0,2.0,1964.0,599000.0,3143.0,,,,
222,Armadale,u,861.0,,2,1.0,2.0,,550000.0,3143.0,,,,
223,Armadale,u,0.0,100.0,3,2.0,3.0,1998.0,995000.0,3143.0,,,,
224,Armadale,t,101.0,105.0,3,2.0,3.0,2000.0,1205000.0,3143.0,,,,
225,Armadale,h,296.0,150.0,3,2.0,3.0,1889.0,1939000.0,3143.0,,,,
226,Armadale,u,0.0,,1,1.0,1.0,,421500.0,3143.0,,,,
227,Armadale,h,217.0,116.0,3,1.0,3.0,1888.0,1870000.0,3143.0,,,,
228,Armadale,u,0.0,,2,1.0,2.0,,678000.0,3143.0,,,,
229,Armadale,t,0.0,165.0,3,2.0,3.0,1995.0,1918000.0,3143.0,,,,
230,Armadale,u,0.0,,2,1.0,2.0,,660000.0,3143.0,,,,
231,Armadale,h,205.0,116.0,3,2.0,3.0,1910.0,2050000.0,3143.0,,,,
232,Armadale,u,0.0,,2,1.0,2.0,,700000.0,3143.0,,,,
233,Armadale,u,0.0,,2,2.0,3.0,2006.0,3625000.0,3143.0,,,,
234,Armadale,h,1581.0,,4,2.0,4.0,1934.0,3000000.0,3143.0,,,,
235,Armadale,h,693.0,,5,2.0,8.0,,1525000.0,3143.0,,,,
236,Armadale,u,2113.0,14.0,3,2.0,3.0,1970.0,735000.0,3143.0,,,,
237,Armadale,u,0.0,,2,1.0,2.0,,825000.0,3143.0,,,,
238,Armadale,t,246.0,,3,2.0,2.0,,1586000.0,3143.0,,,,
239,Armadale,u,0.0,,2,1.0,3.0,1960.0,645000.0,3143.0,,,,
240,Armadale,h,144.0,107.0,1,2.0,2.0,1900.0,1435000.0,3143.0,,,,
241,Armadale,u,0.0,38.0,1,1.0,1.0,1975.0,280000.0,3143.0,,,,
242,Armadale,u,0.0,,1,1.0,1.0,,400000.0,3143.0,,,,
243,Armadale,h,0.0,,2,2.0,2.0,,1780000.0,3143.0,,,,
244,Armadale,u,0.0,73.0,2,1.0,2.0,1970.0,592500.0,3143.0,,,,
245,Armadale,h,249.0,96.0,2,1.0,2.0,1910.0,1210000.0,3143.0,,,,
246,Armadale,h,624.0,222.0,4,2.0,4.0,1900.0,2801000.0,3143.0,,,,
247,Armadale,u,881.0,,1,1.0,1.0,,390000.0,3143.0,,,,
248,Armadale,h,405.0,121.0,3,2.0,3.0,1910.0,1800000.0,3143.0,,,,
249,Armadale,h,495.0,163.0,4,1.0,4.0,1900.0,2200000.0,3143.0,,,,
250,Armadale,u,0.0,,1,1.0,1.0,,324000.0,3143.0,,,,
251,Armadale,h,1491.0,516.0,6,3.0,5.0,1935.0,5525000.0,3143.0,,,,
252,Armadale,h,169.0,,2,1.0,3.0,,1125000.0,3143.0,,,,
253,Armadale,h,301.0,,3,3.0,3.0,,2250000.0,3143.0,,,,
254,Armadale,h,336.0,,3,2.0,3.0,,2360000.0,3143.0,,,,
255,Armadale,h,207.0,,2,2.0,2.0,,1900000.0,3143.0,,,,
256,Armadale,u,0.0,53.0,1,1.0,1.0,1970.0,440000.0,3143.0,,,,
257,Armadale,u,0.0,,2,1.0,2.0,1966.0,490000.0,3143.0,,,,
258,Armadale,h,316.0,,3,2.0,3.0,,2365000.0,3143.0,,,,
259,Armadale,h,212.0,106.0,3,1.0,2.0,1900.0,1300000.0,3143.0,,,,
260,Armadale,u,0.0,,3,2.0,3.0,,732000.0,3143.0,,,,
261,Armadale,u,0.0,74.0,2,1.0,2.0,1969.0,704000.0,3143.0,,,,
262,Armadale,u,0.0,98.0,2,1.0,3.0,1970.0,620000.0,3143.0,,,,
263,Armadale,h,328.0,108.0,3,1.0,3.0,1900.0,1900000.0,3143.0,,,,
264,Armadale,u,0.0,,1,1.0,1.0,,315000.0,3143.0,,,,
265,Armadale,u,0.0,,1,1.0,1.0,,450000.0,3143.0,,,,
266,Armadale,u,2471.0,80.0,2,1.0,2.0,1970.0,710000.0,3143.0,,,,
267,Armadale,u,1194.0,,2,1.0,2.0,1953.0,872000.0,3143.0,,,,
268,Armadale,u,0.0,88.0,2,1.0,2.0,1970.0,598000.0,3143.0,,,,
269,Armadale,h,186.0,80.0,3,1.0,3.0,1920.0,1285000.0,3143.0,,,,
